database,api,permit,longitude,latitude,surface_interval_id,depth,uncor_bht,harrison_correction,bhtcorrected_temp,surface_temp,harrison_gradient,reference_data_set,state,k_source,k_section,resistance,k,q_calculated,quality,basement_depth,correction,bht_well,well_ave_hf,file_number,operation_name,drilling_start,drilling_complete,tsc,state_plane_meter_x_coordinate,state_plane_meter_y_coordinate,company_name,well_type,well_status,field_name,formation,elevation_measured,elevation_ft,elevation_m,county_name,surface_id,bottom_id,,,
SMU-Google BHT Heat Flow,,,-88.0254,31.0807,AL-BHT-000047-a,3664.6,103.9,18.9,122.8,20.4,27.9,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2,56,BHT-C,,Harrison,1,56,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.0224,32.0907,AL-BHT-000048-a,1036.3,53.3,-0.1,53.2,20,32,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.07,66,BHT-C,,Harrison,1,66,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.0154,31.0373,AL-BHT-000049-a,1986.6,60,10.5,70.5,20.4,25.2,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2,50,BHT-C,,Harrison,1,50,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.0134,32.145,AL-BHT-000050-a,1225.6,57.8,2.4,60.2,19.9,32.9,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.07,68,BHT-C,,Harrison,1,68,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.0086,32.5048,AL-BHT-000051-a,1083.8,55.6,0.5,56.1,19.7,33.6,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.09,70,BHT-C,,Harrison,1,70,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-87.9962,31.7048,AL-BHT-000052-a,3157.6,86.1,17.8,103.9,20.1,26.5,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.05,54,BHT-C,,Harrison,1,54,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-87.992,32.3512,AL-BHT-000053-a,1139.9,41.7,1.3,43,19.8,20.4,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.08,42,BHT-C,,Harrison,1,42,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-87.99,31.8302,AL-BHT-000054-a,3656.1,92.2,18.9,111.1,20.1,24.9,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.06,51,BHT-C,,Harrison,1,51,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-87.9834,31.952,AL-BHT-000055-a,1087.5,50,0.6,50.6,20,28.1,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.06,58,BHT-C,,Harrison,1,58,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-87.98,31.2152,AL-BHT-000056-a,1833.8,61.1,9.1,70.2,20.3,27.2,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.01,55,BHT-C,,Harrison,1,55,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-87.972,31.6522,AL-BHT-000057-a,4268.3,105.6,19.1,124.7,20.2,24.5,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.05,50,BHT-C,,Harrison,1,50,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-87.9232,31.4458,AL-BHT-000058-a,2284.8,75.6,13,88.6,20.2,29.9,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.03,61,BHT-C,,Harrison,1,61,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-87.9228,31.0872,AL-BHT-000059-a,4122.9,112.8,19.1,131.9,20.4,27,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2,54,BHT-C,,Harrison,1,54,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-87.9202,31.9305,AL-BHT-000060-a,1012.8,38.9,-0.4,38.5,20.1,18.2,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.06,37,BHT-C,,Harrison,1,37,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
